Timestamp,COx,NOx,Benzene,Solar Voltage
19:06:24,1.21,66,85,0.2
19:08:04,1.08,63,81,0.16
19:08:24,1.21,64,83,0.15
19:10:24,1.35,67,98,0.13
19:11:04,1.5,68,102,0.13
19:12:04,1.5,68,106,0.12
19:15:04,1.67,69,117,0.11
19:18:05,1.67,68,110,0.08
19:22:05,1.5,68,107,0.1
19:22:45,1.35,66,102,0.09
19:23:05,1.35,66,103,0.1
19:23:25,1.21,66,99,0.1
19:24:25,1.5,66,100,0.08
19:24:45,1.5,68,106,0.08
19:26:25,1.5,69,103,0.08
19:28:05,1.84,71,107,0.08
19:28:45,2.03,73,111,0.11
19:30:25,1.67,71,106,0.1
19:33:25,2.44,79,120,0.1
